"","Row.names","meanPropChange","mean.r","mean.o","meanDiff","sdDiff","medianPropChange","median.r","median.o","medianDiff","nTrue","nValid","modelN","modelEstimate","MLM95lb","MLM95ub","simNum","propNull","propAttenuation","squaredError","absoluteError"
"2555","BF0PBelow3",-0.522525796624421,0.196449629715408,0.445890239651426,-0.249440609936018,0.193721645678847,-0.563224167772455,0.158517583639613,0.387060909263004,-0.213219617170902,164,306,164,-0.2143352212262,-0.246489824676273,-0.182180617776126,60,0.4,0.6,0.00600225218868061,0.0774742033755792
"2556","BFP0Above3",-0.47881985229562,0.215446339225115,0.449574470194492,-0.234128130969378,0.179266436073106,-0.54984312196914,0.171345260146784,0.387060909263004,-0.210793064362507,108,306,108,-0.217317013368557,-0.257938247621134,-0.17669577911598,60,0.4,0.6,0.0146846281976555,0.12118014770438
"2557","Overall",-0.782369569061926,0.0797849664222127,0.404449028552332,-0.32466406213012,0.245289666717777,-0.882204938454729,0.0361388199516459,0.342828254415394,-0.272754988327602,314,314,305,-0.300369656786356,-0.349169655324734,-0.251569658247979,61,0.6,0.6,0.0332586597198326,0.182369569061926
"2558","StatisticalSignificance",-0.404268182061882,0.221366315849675,0.43203598061912,-0.210669664769446,0.203353175238738,-0.518009050235194,0.161398011999648,0.365443754271396,-0.185907086480631,105,308,105,-0.20285343229782,-0.263693601617851,-0.142013262977789,61,0.6,0.6,0.0383109445533604,0.195731817938118
"2559","Nonequivalence",-0.528124266701113,0.174380718784089,0.415650658791616,-0.241269940007527,0.211718089882998,-0.618546453501102,0.139595056425548,0.342828254415394,-0.21587740445245,146,305,146,-0.237816596930696,-0.291180568540732,-0.18445262532066,61,0.6,0.6,0.0051661210372527,0.0718757332988867
"2560","bf0repSimBelow3",-0.447269034784109,0.209286916506939,0.396175961426886,-0.186889044919947,0.180297645538473,-0.519725971258606,0.151668312133027,0.342828254415394,-0.169067864564634,105,281,105,-0.144338940914479,-0.172506973000573,-0.116170908828386,61,0.6,0.6,0.0233267477357778,0.152730965215891
"2561","bfrep0SimAbove3",-0.288855209386131,0.26382993759332,0.417336713979811,-0.153506776386491,0.179379373949335,-0.446688339097629,0.173668586839124,0.365443754271396,-0.149329372592573,61,281,61,-0.131867532801913,-0.18211998953102,-0.0816150760728067,61,0.6,0.6,0.0968110807261484,0.311144790613869
"2562","BF01Below3",-0.444710526957355,0.211161725461564,0.482973602351143,-0.27181187688958,0.286246904900724,-0.519725971258606,0.167069281390583,0.400059650056057,-0.221527632214596,109,306,109,-0.223793006926418,-0.273088321073602,-0.174497692779234,61,0.6,0.6,0.0241148204378623,0.155289473042645
"2563","bf10SimAbove3",-0.332346672020127,0.241243121913921,0.446733931991599,-0.205490810077678,0.223029595432145,-0.513863550994635,0.164355897380118,0.365443754271396,-0.185907086480631,69,306,69,-0.198182452103013,-0.272300455318707,-0.12406444888732,61,0.6,0.6,0.0716383039787015,0.267653327979873
"2564","BF0PBelow3",-0.428789095202103,0.218864217406671,0.460716844203948,-0.241852626797276,0.232175046905531,-0.525996088223077,0.159932758710126,0.39,-0.217978720024504,119,306,119,-0.205817875921861,-0.244359152510622,-0.1672765993331,61,0.6,0.6,0.0293131739217147,0.171210904797897
"2565","BFP0Above3",-0.333289110806036,0.249334475187804,0.453520574829848,-0.204186099642044,0.219601258805096,-0.512261334419639,0.167069281390583,0.367924620459263,-0.184556615508765,77,306,77,-0.198583059106564,-0.271328869068932,-0.125837249144196,61,0.6,0.6,0.0711346984146349,0.266710889193964
"2566","Overall",-0.956146800527837,0.0192693016554922,0.404449028552332,-0.38517972689684,0.272578932570421,-0.993151364642264,0.0026976177067553,0.342828254415394,-0.314190722958229,314,314,305,-0.366922240314084,-0.424207379654778,-0.30963710097339,62,0.9,0.3,0.430528623842917,0.656146800527837
"2567","StatisticalSignificance",-0.42465889700055,0.235797476235573,0.428193431185502,-0.192395954949929,0.212565428718294,-0.396074757350065,0.171461575392679,0.354092528962243,-0.141426096708399,39,307,39,-0.183716299317742,-0.277171652523747,-0.0902609461117374,62,0.9,0.3,0.0155398406013938,0.12465889700055
"2568","Nonequivalence",-0.691023676438977,0.12182460651031,0.403091793412148,-0.281267186901838,0.248749918291492,-0.804442329848593,0.0597649382374807,0.320545409301946,-0.201033796319506,91,305,91,-0.250043826533108,-0.313094770491158,-0.186992882575059,62,0.9,0.3,0.152899515535853,0.391023676438977
